"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"894","Zambia","000"," World",2016,3048500,,0,2,25,""
"894","Zambia","000"," World",2016,3048600,,0,2,25,""
"894","Zambia","000"," World",2016,3048700,,0,2,25,""
"894","Zambia","000"," World",2016,3048900,,0,2,,""
"894","Zambia","000"," World",2016,3049100,,0,2,25,""
"894","Zambia","000"," World",2016,3049200,,0,2,25,""
"894","Zambia","000"," World",2016,3049300,,0,2,25,""
"894","Zambia","000"," World",2016,3049400,,0,2,25,""
"894","Zambia","000"," World",2016,3049500,,0,2,25,""
"894","Zambia","000"," World",2016,3049900,,0,2,25,""
"894","Zambia","000"," World",2016,3051000,,0,2,15,""
"894","Zambia","000"," World",2016,3052000,,0,2,15,""
"894","Zambia","000"," World",2016,3053100,,0,2,25,""
"894","Zambia","000"," World",2016,3053200,,0,2,25,""
"894","Zambia","000"," World",2016,3053900,,0,2,25,""
"894","Zambia","000"," World",2016,3054100,,0,2,15,""
"894","Zambia","000"," World",2016,3054200,,0,2,15,""
"894","Zambia","000"," World",2016,3054300,,0,2,25,""
"894","Zambia","000"," World",2016,3054400,,0,2,25,""
"894","Zambia","000"," World",2016,3054900,,0,2,15,""
"894","Zambia","000"," World",2016,3055100,,0,2,15,""
"894","Zambia","000"," World",2016,3055900,,0,2,15,""
"894","Zambia","000"," World",2016,3056100,,0,2,15,""
"894","Zambia","000"," World",2016,3056200,,0,2,15,""
"894","Zambia","000"," World",2016,3056300,,0,2,15,""
"894","Zambia","000"," World",2016,3056400,,0,2,25,""
"894","Zambia","000"," World",2016,3056900,,0,2,15,""
"894","Zambia","000"," World",2016,3057100,,0,2,25,""
"894","Zambia","000"," World",2016,3057200,,0,2,25,""
"894","Zambia","000"," World",2016,3057900,,0,2,25,""
"894","Zambia","000"," World",2016,3061100,,0,2,25,""
"894","Zambia","000"," World",2016,3061200,,0,2,25,""
"894","Zambia","000"," World",2016,3061400,,0,2,25,""
"894","Zambia","000"," World",2016,3061500,,0,2,25,""
"894","Zambia","000"," World",2016,3061600,,0,2,25,""
"894","Zambia","000"," World",2016,3061700,,0,2,25,""
"894","Zambia","000"," World",2016,3061900,,0,2,25,""
"894","Zambia","000"," World",2016,3062100,,0,2,25,""
"894","Zambia","000"," World",2016,3062200,,0,2,25,""
"894","Zambia","000"," World",2016,3062400,,0,2,25,""
"894","Zambia","000"," World",2016,3062500,,0,2,,""
"894","Zambia","000"," World",2016,3062600,,0,2,25,""
"894","Zambia","000"," World",2016,3062700,,0,2,25,""
"894","Zambia","000"," World",2016,3062900,,0,2,25,""
"894","Zambia","000"," World",2016,3071100,,0,2,25,""
"894","Zambia","000"," World",2016,3071900,,0,2,25,""
"894","Zambia","000"," World",2016,3072100,,0,2,25,""
"894","Zambia","000"," World",2016,3072900,,0,2,25,""
"894","Zambia","000"," World",2016,3073100,,0,2,25,""
"894","Zambia","000"," World",2016,3073900,,0,2,25,""
"894","Zambia","000"," World",2016,3074100,,0,2,25,""
"894","Zambia","000"," World",2016,3074900,,0,2,25,""
"894","Zambia","000"," World",2016,3075100,,0,2,25,""
"894","Zambia","000"," World",2016,3075900,,0,2,25,""
"894","Zambia","000"," World",2016,3076000,,0,2,25,""
"894","Zambia","000"," World",2016,3077100,,0,2,25,""
"894","Zambia","000"," World",2016,3077900,,0,2,25,""
"894","Zambia","000"," World",2016,3078100,,0,2,25,""
"894","Zambia","000"," World",2016,3078900,,0,2,25,""
"894","Zambia","000"," World",2016,3079100,,0,2,25,""
"894","Zambia","000"," World",2016,3079900,,0,2,25,""
"894","Zambia","000"," World",2016,3081100,,0,2,25,""
"894","Zambia","000"," World",2016,3081900,,0,2,25,""
"894","Zambia","000"," World",2016,3082100,,0,2,25,""
"894","Zambia","000"," World",2016,3082900,,0,2,25,""
"894","Zambia","000"," World",2016,3083000,,0,2,25,""
"894","Zambia","000"," World",2016,3089000,,0,2,25,""
"894","Zambia","000"," World",2016,4011010,,0,2,25,""
"894","Zambia","000"," World",2016,4011020,,0,2,25,""
"894","Zambia","000"," World",2016,4012010,,0,2,25,""
"894","Zambia","000"," World",2016,4012020,,0,2,25,""
"894","Zambia","000"," World",2016,4014010,,0,2,25,""
"894","Zambia","000"," World",2016,4014020,,0,2,25,""
"894","Zambia","000"," World",2016,4015010,,0,2,25,""
"894","Zambia","000"," World",2016,4015020,,0,2,25,""
"894","Zambia","000"," World",2016,4021010,,0,2,0,""
"894","Zambia","000"," World",2016,4021090,,0,2,25,""
"894","Zambia","000"," World",2016,4022110,,0,2,0,""
"894","Zambia","000"," World",2016,4022120,,0,2,25,""
"894","Zambia","000"," World",2016,4022130,,0,2,5,""
"894","Zambia","000"," World",2016,4022190,,0,2,25,""
"894","Zambia","000"," World",2016,4022910,,0,2,15,""
"894","Zambia","000"," World",2016,4022920,,0,2,0,""
"894","Zambia","000"," World",2016,4022930,,0,2,25,""
"894","Zambia","000"," World",2016,4022990,,0,2,25,""
"894","Zambia","000"," World",2016,4029110,,0,2,0,""
"894","Zambia","000"," World",2016,4029120,,0,2,25,""
"894","Zambia","000"," World",2016,4029190,,0,2,25,""
"894","Zambia","000"," World",2016,4029900,,0,2,15,""
"894","Zambia","000"," World",2016,4031000,,0,2,25,""
"894","Zambia","000"," World",2016,4039000,,0,2,25,""
"894","Zambia","000"," World",2016,4041000,,0,2,25,""
"894","Zambia","000"," World",2016,4049000,,0,2,25,""
"894","Zambia","000"," World",2016,4051000,,0,2,,"25% or KR0.85 per kg whichever is the greater"
"894","Zambia","000"," World",2016,4052000,,0,2,,"25% or KR0.85 per kg whichever is the greater"
"894","Zambia","000"," World",2016,4059000,,0,2,,"25% or KR0.85 per kg whichever is the greater"
"894","Zambia","000"," World",2016,4061000,,0,2,25,""
"894","Zambia","000"," World",2016,4062000,,0,2,25,""
"894","Zambia","000"," World",2016,4063000,,0,2,25,""
"894","Zambia","000"," World",2016,4064000,,0,2,25,""
"894","Zambia","000"," World",2016,4069000,,0,2,25,""
"894","Zambia","000"," World",2016,4071100,,0,2,15,""
"894","Zambia","000"," World",2016,4071900,,0,2,15,""
"894","Zambia","000"," World",2016,4072100,,0,2,15,""
"894","Zambia","000"," World",2016,4072900,,0,2,15,""
"894","Zambia","000"," World",2016,4079000,,0,2,15,""
"894","Zambia","000"," World",2016,4081100,,0,2,15,""
"894","Zambia","000"," World",2016,4081900,,0,2,15,""
"894","Zambia","000"," World",2016,4089100,,0,2,15,""
"894","Zambia","000"," World",2016,4089900,,0,2,15,""
"894","Zambia","000"," World",2016,4090000,,0,2,25,""
"894","Zambia","000"," World",2016,4100000,,0,2,25,""
"894","Zambia","000"," World",2016,5010000,,0,2,25,""
"894","Zambia","000"," World",2016,5021000,,0,2,15,""
"894","Zambia","000"," World",2016,5029000,,0,2,15,""
"894","Zambia","000"," World",2016,5040010,,0,2,15,""
"894","Zambia","000"," World",2016,5040020,,0,2,15,""
"894","Zambia","000"," World",2016,5040090,,0,2,15,""
"894","Zambia","000"," World",2016,5051000,,0,2,15,""
"894","Zambia","000"," World",2016,5059000,,0,2,15,""
"894","Zambia","000"," World",2016,5061000,,0,2,5,""
"894","Zambia","000"," World",2016,5069010,,0,2,5,""
"894","Zambia","000"," World",2016,5069090,,0,2,5,""
"894","Zambia","000"," World",2016,5071000,,0,2,25,""
"894","Zambia","000"," World",2016,5079000,,0,2,25,""
"894","Zambia","000"," World",2016,5080000,,0,2,25,""
"894","Zambia","000"," World",2016,5100000,,0,2,15,""
"894","Zambia","000"," World",2016,5111000,,0,2,0,""
"894","Zambia","000"," World",2016,5119110,,0,2,5,""
"894","Zambia","000"," World",2016,5119190,,0,2,5,""
"894","Zambia","000"," World",2016,5119910,,0,2,0,""
"894","Zambia","000"," World",2016,5119990,,0,2,5,""
"894","Zambia","000"," World",2016,6011000,,0,2,25,""
"894","Zambia","000"," World",2016,6012000,,0,2,25,""
"894","Zambia","000"," World",2016,6021000,,0,2,5,""
"894","Zambia","000"," World",2016,6022000,,0,2,5,""
"894","Zambia","000"," World",2016,6023000,,0,2,5,""
"894","Zambia","000"," World",2016,6024000,,0,2,0,""
"894","Zambia","000"," World",2016,6029000,,0,2,5,""
"894","Zambia","000"," World",2016,6031100,,0,2,25,""
"894","Zambia","000"," World",2016,6031200,,0,2,25,""
"894","Zambia","000"," World",2016,6031300,,0,2,25,""
"894","Zambia","000"," World",2016,6031400,,0,2,25,""
"894","Zambia","000"," World",2016,6031500,,0,2,25,""
"894","Zambia","000"," World",2016,6031900,,0,2,25,""
"894","Zambia","000"," World",2016,6039000,,0,2,25,""
"894","Zambia","000"," World",2016,6042000,,0,2,25,""
"894","Zambia","000"," World",2016,6049000,,0,2,25,""
"894","Zambia","000"," World",2016,7011000,,0,2,5,""
"894","Zambia","000"," World",2016,7019000,,0,2,25,""
"894","Zambia","000"," World",2016,7020000,,0,2,25,""
"894","Zambia","000"," World",2016,7031000,,0,2,25,""
"894","Zambia","000"," World",2016,7032000,,0,2,25,""
"894","Zambia","000"," World",2016,7039000,,0,2,25,""
"894","Zambia","000"," World",2016,7041000,,0,2,25,""
"894","Zambia","000"," World",2016,7042000,,0,2,25,""
"894","Zambia","000"," World",2016,7049000,,0,2,25,""
"894","Zambia","000"," World",2016,7051100,,0,2,25,""
"894","Zambia","000"," World",2016,7051900,,0,2,25,""
"894","Zambia","000"," World",2016,7052100,,0,2,25,""
"894","Zambia","000"," World",2016,7052900,,0,2,25,""
"894","Zambia","000"," World",2016,7061000,,0,2,25,""
"894","Zambia","000"," World",2016,7069000,,0,2,25,""
"894","Zambia","000"," World",2016,7070000,,0,2,25,""
"894","Zambia","000"," World",2016,7081000,,0,2,25,""
"894","Zambia","000"," World",2016,7082000,,0,2,25,""
"894","Zambia","000"," World",2016,7089000,,0,2,25,""
"894","Zambia","000"," World",2016,7092000,,0,2,25,""
"894","Zambia","000"," World",2016,7093000,,0,2,25,""
"894","Zambia","000"," World",2016,7094000,,0,2,25,""
"894","Zambia","000"," World",2016,7095100,,0,2,25,""
"894","Zambia","000"," World",2016,7095900,,0,2,25,""
"894","Zambia","000"," World",2016,7096000,,0,2,25,""
"894","Zambia","000"," World",2016,7097000,,0,2,25,""
"894","Zambia","000"," World",2016,7099100,,0,2,25,""
"894","Zambia","000"," World",2016,7099200,,0,2,25,""
"894","Zambia","000"," World",2016,7099300,,0,2,25,""
"894","Zambia","000"," World",2016,7099900,,0,2,25,""
"894","Zambia","000"," World",2016,7101000,,0,2,25,""
"894","Zambia","000"," World",2016,7102100,,0,2,25,""
"894","Zambia","000"," World",2016,7102200,,0,2,25,""
"894","Zambia","000"," World",2016,7102900,,0,2,25,""
"894","Zambia","000"," World",2016,7103000,,0,2,25,""
"894","Zambia","000"," World",2016,7104000,,0,2,25,""
"894","Zambia","000"," World",2016,7108000,,0,2,25,""
"894","Zambia","000"," World",2016,7109000,,0,2,25,""
"894","Zambia","000"," World",2016,7112000,,0,2,25,""
"894","Zambia","000"," World",2016,7114000,,0,2,25,""
"894","Zambia","000"," World",2016,7115100,,0,2,25,""
"894","Zambia","000"," World",2016,7115900,,0,2,25,""
"894","Zambia","000"," World",2016,7119000,,0,2,25,""
"894","Zambia","000"," World",2016,7122010,,0,2,25,""
"894","Zambia","000"," World",2016,7122090,,0,2,25,""
"894","Zambia","000"," World",2016,7123100,,0,2,25,""
"894","Zambia","000"," World",2016,7123200,,0,2,25,""
"894","Zambia","000"," World",2016,7123300,,0,2,25,""
"894","Zambia","000"," World",2016,7123900,,0,2,25,""
"894","Zambia","000"," World",2016,7129000,,0,2,25,""
"894","Zambia","000"," World",2016,7131010,,0,2,5,""
"894","Zambia","000"," World",2016,7131090,,0,2,25,""
"894","Zambia","000"," World",2016,7132010,,0,2,5,""
"894","Zambia","000"," World",2016,7132090,,0,2,25,""
"894","Zambia","000"," World",2016,7133110,,0,2,5,""
"894","Zambia","000"," World",2016,7133190,,0,2,25,""
"894","Zambia","000"," World",2016,7133210,,0,2,5,""
"894","Zambia","000"," World",2016,7133290,,0,2,25,""
"894","Zambia","000"," World",2016,7133310,,0,2,5,""
"894","Zambia","000"," World",2016,7133390,,0,2,25,""
"894","Zambia","000"," World",2016,7133410,,0,2,5,""
"894","Zambia","000"," World",2016,7133490,,0,2,25,""
"894","Zambia","000"," World",2016,7133510,,0,2,5,""
"894","Zambia","000"," World",2016,7133590,,0,2,25,""
"894","Zambia","000"," World",2016,7133910,,0,2,5,""
"894","Zambia","000"," World",2016,7133990,,0,2,25,""
"894","Zambia","000"," World",2016,7134010,,0,2,5,""
"894","Zambia","000"," World",2016,7134090,,0,2,25,""
"894","Zambia","000"," World",2016,7135010,,0,2,5,""
"894","Zambia","000"," World",2016,7135090,,0,2,25,""
"894","Zambia","000"," World",2016,7136010,,0,2,5,""
"894","Zambia","000"," World",2016,7136090,,0,2,25,""
"894","Zambia","000"," World",2016,7139010,,0,2,5,""
"894","Zambia","000"," World",2016,7139090,,0,2,25,""
"894","Zambia","000"," World",2016,7141010,,0,2,25,""
"894","Zambia","000"," World",2016,7141090,,0,2,25,""
"894","Zambia","000"," World",2016,7142010,,0,2,25,""
"894","Zambia","000"," World",2016,7142090,,0,2,25,""
"894","Zambia","000"," World",2016,7143000,,0,2,25,""
"894","Zambia","000"," World",2016,7144000,,0,2,25,""
"894","Zambia","000"," World",2016,7145000,,0,2,25,""
