"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"918","European Union","000"," World",2023,2043000,"- Carcases and half-carcases of lamb, frozen",,0,2,,"12.8 % + 128.8 EUR/100 kg"
"918","European Union","000"," World",2023,2044100,"-- Carcases and half-carcases",,0,2,,"12.8 % + 128.8 EUR/100 kg"
"918","European Union","000"," World",2023,2044210,"--- Short forequarters",,0,2,,"12.8 % + 90.2 EUR/100 kg"
"918","European Union","000"," World",2023,2044230,"--- Chines and/or best ends",,0,2,,"12.8 % + 141.7 EUR/100 kg"
"918","European Union","000"," World",2023,2044250,"--- Legs",,0,2,,"12.8 % + 167.5 EUR/100 kg"
"918","European Union","000"," World",2023,2044290,"--- Other",,0,2,,"12.8 % + 167.5 EUR/100 kg"
"918","European Union","000"," World",2023,2044310,"--- Of lamb",,0,2,,"12.8 % + 234.5 EUR/100 kg"
"918","European Union","000"," World",2023,2044390,"--- Other",,0,2,,"12.8 % + 234.5 EUR/100 kg"
"918","European Union","000"," World",2023,2045011,"--- Carcases and half-carcases",,0,2,,"12.8 % + 171.3 EUR/100 kg"
"918","European Union","000"," World",2023,2045013,"--- Short forequarters",,0,2,,"12.8 % + 119.9 EUR/100 kg"
"918","European Union","000"," World",2023,2045015,"--- Chines and/or best ends",,0,2,,"12.8 % + 188.5 EUR/100 kg"
"918","European Union","000"," World",2023,2045019,"--- Legs",,0,2,,"12.8 % + 222.7 EUR/100 kg"
"918","European Union","000"," World",2023,2045031,"---- Cuts with bone in",,0,2,,"12.8 % + 222.7 EUR/100 kg"
"918","European Union","000"," World",2023,2045039,"---- Boneless cuts",,0,2,,"12.8 % + 311.8 EUR/100 kg"
"918","European Union","000"," World",2023,2045051,"--- Carcases and half-carcases",,0,2,,"12.8 % + 128.8 EUR/100 kg"
"918","European Union","000"," World",2023,2045053,"--- Short forequarters",,0,2,,"12.8 % + 90.2 EUR/100 kg"
"918","European Union","000"," World",2023,2045055,"--- Chines and/or best ends",,0,2,,"12.8 % + 141.7 EUR/100 kg"
"918","European Union","000"," World",2023,2045059,"--- Legs",,0,2,,"12.8 % + 167.5 EUR/100 kg"
"918","European Union","000"," World",2023,2045071,"---- Cuts with bone in",,0,2,,"12.8 % + 167.5 EUR/100 kg"
"918","European Union","000"," World",2023,2045079,"---- Boneless cuts",,0,2,,"12.8 % + 234.5 EUR/100 kg"
"918","European Union","000"," World",2023,2050020,"- Fresh or chilled",,0,2,5.1,""
"918","European Union","000"," World",2023,2050080,"- Frozen",,0,2,5.1,""
"918","European Union","000"," World",2023,2061010,"-- For the manufacture of pharmaceutical products",,0,2,0,""
"918","European Union","000"," World",2023,2061095,"--- Thick skirt and thin skirt",,0,2,,"12.8 % + 303.4 EUR/100 kg"
"918","European Union","000"," World",2023,2061098,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,2062100,"-- Tongues",,0,2,0,""
"918","European Union","000"," World",2023,2062200,"-- Livers",,0,2,0,""
"918","European Union","000"," World",2023,2062910,"--- For the manufacture of pharmaceutical products",,0,2,0,""
