"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"392","Japan","000"," World",2023,20321020,"----*[1] Each kilogram, not more than the upper limit prices for the specific duty applied on pig carcass, in value for customs duty S",,0,2,,"361yen/kg"
"392","Japan","000"," World",2023,20321031,"-----Less than 299.25 yen/kg in value for customs duty",,0,2,,"Min(361yen/kg; Per each kilogram, the difference between the standard import price of pig carcass and the value for customs duty)"
"392","Japan","000"," World",2023,20321032,"-----Not less than 299.25 yen/kg in value for customs duty",,0,2,,"Min(361yen/kg; Per each kilogram, the difference between the standard import price of pig carcass and the value for customs duty)"
"392","Japan","000"," World",2023,20321040,"----*[3] Each kilogram, more than the gate prices of pig carcass, in value for customs duty S",,0,2,4.3,""
"392","Japan","000"," World",2023,20322010,"---1 Of wild boars",,0,2,0,""
"392","Japan","000"," World",2023,20322022,"----*[3] Each kilogram, more than the gate prices of partial pig, in value for customs duty S",,0,2,4.3,""
"392","Japan","000"," World",2023,20322023,"----*[1] Each kilogram, not more than the upper limit prices for the specific duty applied on partial pig, in value for customs duty S",,0,2,,"482yen/kg"
"392","Japan","000"," World",2023,20322024,"-----Less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20322025,"-----Not less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20329010,"---1 Of wild boars",,0,2,0,""
"392","Japan","000"," World",2023,20329022,"----*[3] Each kilogram, more than the gate prices of partial pig, in value for customs duty S",,0,2,4.3,""
"392","Japan","000"," World",2023,20329023,"----*[1] Each kilogram, not more than the upper limit prices for the specific duty applied on partial pig, in value for customs duty S",,0,2,,"482yen/kg"
"392","Japan","000"," World",2023,20329024,"-----Less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20329025,"-----Not less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20410000,"-Carcasses and half-carcasses of lamb, fresh or chilled",,0,2,0,""
"392","Japan","000"," World",2023,20421000,"--Carcasses and half-carcasses",,0,2,0,""
"392","Japan","000"," World",2023,20422000,"--Other cuts with bone in",,0,2,0,""
"392","Japan","000"," World",2023,20423000,"--Boneless",,0,2,0,""
"392","Japan","000"," World",2023,20430000,"-Carcasses and half-carcasses of lamb, frozen",,0,2,0,""
"392","Japan","000"," World",2023,20441000,"--Carcasses and half-carcasses",,0,2,0,""
"392","Japan","000"," World",2023,20442000,"--Other cuts with bone in",,0,2,0,""
"392","Japan","000"," World",2023,20443000,"--Boneless",,0,2,0,""
"392","Japan","000"," World",2023,20450000,"-Meat of goats",,0,2,0,""
"392","Japan","000"," World",2023,20500000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",,0,2,0,""
