country,product,dependency
MYS,Lumber,0.013194438314502385
MYS,Steel,0.19321542176597928
NGA,Cars,0.28927498762965287
NGA,Electronics,0.2262039964726609
NGA,Energy,0.0021538340950449236
NGA,Food,0.3358329014278067
NGA,Lumber,0.029525990932394084
NGA,Steel,0.11700828944244052
NLD,Cars,0.23231487199799444
NLD,Electronics,0.09602213332566699
NLD,Energy,0.014241733371577869
NLD,Food,0.47121593034838183
NLD,Lumber,0.04641646529392106
NLD,Steel,0.13978886566245785
NOR,Cars,0.31629667201938233
NOR,Electronics,0.1931841917233827
NOR,Energy,0.01746610653418113
NOR,Food,0.27686913547286457
NOR,Lumber,0.04301971777825656
NOR,Steel,0.15316417647193267
NZL,Cars,0.35465266041366195
NZL,Electronics,0.2230411235684372
NZL,Energy,0.001151616433530321
NZL,Food,0.32321911905298695
NZL,Lumber,0.018999739219626385
NZL,Steel,0.07893574131175717
PAK,Cars,0.12161345984537962
PAK,Electronics,0.13412970409676261
PAK,Energy,0.009214039481184754
PAK,Food,0.523445931867773
PAK,Lumber,0.01007876007150714
PAK,Steel,0.20151810463739295
PER,Cars,0.18424875409985295
PER,Electronics,0.2579397371486432
PER,Energy,0.0016991667401835319
PER,Food,0.39147342969380833
PER,Lumber,0.028866785754623
PER,Steel,0.13577212656288898
PHL,Cars,0.10630850111626663
PHL,Electronics,0.4179929460553747
PHL,Energy,0.000620470281680788
PHL,Food,0.3327829036774602
PHL,Lumber,0.015585121059045689
PHL,Steel,0.126710057810172
POL,Cars,0.2736242196643594
POL,Electronics,0.165484274901353
POL,Energy,0.015356999397253844
POL,Food,0.27894976869262117
POL,Lumber,0.023670234753359554
POL,Steel,0.24291450259105302
PRT,Cars,0.2678665165132064
PRT,Electronics,0.1491181239880563
PRT,Energy,0.057862236037320366
PRT,Food,0.3749342925518495
PRT,Lumber,0.034070567227353896
PRT,Steel,0.11614826368221357
ROU,Cars,0.24200123886626995
ROU,Electronics,0.17154926812779894
ROU,Energy,0.06588150184154375
ROU,Food,0.3323651723897508
ROU,Lumber,0.029772782330320924
ROU,Steel,0.15843003644431566
RUS,Cars,0.2872708978247964
RUS,Electronics,0.2697643644789838
RUS,Energy,0.003323696821796422
RUS,Food,0.33099793808780187
RUS,Lumber,0.008683769971570138
RUS,Steel,0.09995933281505137
SAU,Cars,0.2611378297009514
SAU,Electronics,0.1791589357182074
SAU,Energy,0.0023140677226296084
SAU,Food,0.37470210964864603
SAU,Lumber,0.025369266117599685
SAU,Steel,0.15731779109196584
SEN,Cars,0.12515430376745287
SEN,Electronics,0.08356290014366814
SEN,Energy,0.002556473435342363
SEN,Food,0.6611467472417112
SEN,Lumber,0.026166257514680654
SEN,Steel,0.10141331789714478
SGP,Cars,0.024260126688989726
SGP,Electronics,0.7195231457272872
SGP,Energy,0.06636195159216601
SGP,Food,0.15087891444241694
SGP,Lumber,0.0066176126554005395
SGP,Steel,0.03235824889373954
STP,Cars,0.11227547210399348
STP,Electronics,0.08185184616093791
STP,Energy,0.001044851800064535
STP,Food,0.7640632442648392
STP,Lumber,0.009250011524100737
STP,Steel,0.03151457414606414
SVK,Cars,0.5343574642936787
SVK,Electronics,0.11755943210391706
SVK,Energy,0.036759906873548034
SVK,Food,0.17959085537733854
SVK,Lumber,0.020375666228938903
SVK,Steel,0.11135667512257871
SVN,Cars,0.19575530172439037
SVN,Electronics,0.14260292124921722
SVN,Energy,0.06821891517219285
SVN,Food,0.20686773600257344
SVN,Lumber,0.05372513828722747
SVN,Steel,0.33282998756439863
SWE,Cars,0.28467562375069305
SWE,Electronics,0.19356155093895075
SWE,Energy,0.027335280001421835
SWE,Food,0.27452295827662854
SWE,Lumber,0.0472185805952128
SWE,Steel,0.17268600643709298
THA,Cars,0.12441553715873813
THA,Electronics,0.42749575596481715
THA,Energy,0.01910116654009611
THA,Food,0.1709477526726613
THA,Lumber,0.010683882563107622
THA,Steel,0.24735590510057961
TUN,Cars,0.19933704242476247
TUN,Electronics,0.15509856091040491
TUN,Energy,0.0019615647526541203
TUN,Food,0.383371908502636
TUN,Lumber,0.03233965552528423
TUN,Steel,0.22789126788425826
TUR,Cars,0.21387793146376025
TUR,Electronics,0.13655661993489737
TUR,Energy,0.007085502406469269
TUR,Food,0.24131139219458259
TUR,Lumber,0.008401915473654032
TUR,Steel,0.3927666385266364
TWN,Cars,0.0913819908273262
TWN,Electronics,0.5582399937264808
TWN,Energy,0.0014703709786302878
TWN,Food,0.15759635111526538
TWN,Lumber,0.013952491284841618
TWN,Steel,0.17735880206745566
UKR,Cars,0.3774502590074749
UKR,Electronics,0.22339802863031524
UKR,Energy,0.0066325626363132285
UKR,Food,0.2838508243300728
UKR,Lumber,0.015723908009632838
UKR,Steel,0.09294441738619094
USA,Cars,0.32065169066054017
USA,Electronics,0.3145816952894565
USA,Energy,0.006699996449930664
USA,Food,0.21653302973530755
USA,Lumber,0.03688946686294931
USA,Steel,0.10464412100181573
VNM,Cars,0.054559853532621994
VNM,Electronics,0.5788801986107194
VNM,Energy,0.003489804507756799
VNM,Food,0.22071888594440217
VNM,Lumber,0.00727953410157867
VNM,Steel,0.13507172330292092
ZAF,Cars,0.3210866645550343
ZAF,Electronics,0.24615528499886052
ZAF,Energy,0.016050345391849283
ZAF,Food,0.2521298504787837
ZAF,Lumber,0.014163948776789816
ZAF,Steel,0.15041390579868236
